FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Salix bebbiana		28300022	FullnameNoAuthors	Salix bebbiana Sarg.	Gard. & Forest	8(404): 463	8	404	463	1895		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:50609&volume=8&issue=404&spage=463&date=1895	4415
	Descurainia sophia		4100428	FullnameNoAuthors	Descurainia sophia (L.) Webb ex Prantl	Nat. Pflanzenfam.	3(2[4]): 192	3	2[4]	192	1891		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:4635&volume=3&issue=2[4]&spage=192&date=1891	4415
	Suaeda erecta		50110927	FullnameNoAuthors	Suaeda erecta (S. Watson) A. Nelson	New Man. Bot. Centr. Rocky Mt.	169–170			169	1909		No opinion		4415
	Shepherdia canadensis		11600005	FullnameNoAuthors	Shepherdia canadensis (L.) Nutt.	Gen. N. Amer. Pl.	2: 241	2		241	1818		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:290&volume=2&issue=&spage=241&date=1818	4415
	Juniperus communis		9400373	FullnameNoAuthors	Juniperus communis L.	Sp. Pl.	2: 1040	2		1040	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1040&date=1753	4415
	Medicago sativa		13035689	FullnameNoAuthors	Medicago sativa L.	Sp. Pl.	2: 778–779	2		778	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=778&date=1753	4415
	Artemisia cana		2700131	FullnameNoAuthors	Artemisia cana Pursh	Fl. Amer. Sept.	2: 521	2		521	1814	1813	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:100&volume=2&issue=&spage=521&date=1814	4415
	Symphoricarpos occidentalis		6000161	FullnameNoAuthors	Symphoricarpos occidentalis Hook.	Fl. Bor.-Amer.	1: 285	1		285	1833		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:691&volume=1&issue=&spage=285&date=1833	4415
	Juniperus horizontalis		9400150	FullnameNoAuthors	Juniperus horizontalis Moench	Methodus	699			699	1794		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:304&volume=&issue=&spage=699&date=1794	4415
	Pinus banksiana		24900179	FullnameNoAuthors	Pinus banksiana Lamb.	Descr. Pinus	1: 7, pl. 3	1		7	1803		No opinion		4415
	Chenopodium album		7200019	FullnameNoAuthors	Chenopodium album L.	Sp. Pl.	1: 219	1		219	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=219&date=1753	4415
	Pinus ponderosa		24900205	FullnameNoAuthors	Pinus ponderosa P. Lawson & C. Lawson	Agric. Man.	354–355			354	1836		No opinion		4415
	Artemisia tridentata		2701811	FullnameNoAuthors	Artemisia tridentata Nutt.	Trans. Amer. Philos. Soc., n.s.	7: 398	7		398	1841		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41515&volume=7&issue=&spage=398&date=1841	4415
	Pseudotsuga menziesii		24900226	FullnameNoAuthors	Pseudotsuga menziesii (Mirb.) Franco	Bol. Soc. Brot., sér. 2	24: 74	24		74	1950		No opinion		4415
	Purshia tridentata		27801129	FullnameNoAuthors	Purshia tridentata (Pursh) DC.	Trans. Linn. Soc. London	12(1): 158	12	1	158	1817	1818	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:683&volume=12&issue=1&spage=158&date=1817	4415
