id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
3826	interior	Salix	Salicaceae	rubecula	Lygidea	Mirini	Miridae	6296	8151	52789	52802	382	583	786	18	1	5.56	4	0	0	0	LOW
3827	contorta	Pinus	Pinaceae	hopi	Phytocoris	Mirini	Miridae	6296	8151	36447	67519	62	554	707	46	1	2.17	1	0	0	0	LOW
3828	ponderosa	Pinus	Pinaceae	bakeri	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	37484	62	554	879	141	4	2.84	14	0	0	0	MEDIUM
3829	cereum	Ribes	Grossulariaceae	ribesi	Parthenicus	Orthotylini	Miridae	6296	6291	6112	2255	227	578	696	12	1	8.33	8	0	0	0	LOW
3830	edulis	Pinus	Pinaceae	comulus	Phytocoris	Mirini	Miridae	6296	8151	36447	67898	62	554	735	14	2	14.29	3	0	0	0	LOW
3831	ponderosa	Pinus	Pinaceae	incertus	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	59955	62	554	879	166	3	1.81	1	0	0	0	LOW
3832	album	Chenopodium	Amaranthaceae	associatus	Chlamydatus	Phylini	Miridae	6296	6292	5807	84	83	449	638	947	1	0.11	1	0	0	0	LOW
3833	canadensis	Shepherdia	Elaeagnaceae	debilis	Diaphnidia	Orthotylini	Miridae	6296	6291	5848	914	197	590	8607	18	2	11.11	2	0	0	0	LOW
3834	menziesii	Pseudotsuga	Pinaceae	piceicola	Dichaetocoris	Orthotylini	Miridae	6296	6291	5849	926	62	568	831	160	2	1.25	3	0	0	0	LOW
3835	canadensis	Shepherdia	Elaeagnaceae	dimorphicus	Plagiognathus	Phylini	Miridae	6296	6292	6132	513	197	590	8607	17	6	35.29	6	0	0	0	HIGH
3836	communis	Juniperus	Cupressaceae	schaffneri	Bolteria	Mirini	Miridae	6296	8151	37470	52548	63	511	1219	9	1	11.11	12	0	0	0	LOW
3837	ponderosa	Pinus	Pinaceae	flaviclavus	Psallovius	Phylini	Miridae	6296	6292	6153	4786	62	554	879	8	2	25.00	4	0	0	0	LOW
3838	negundo	Acer	Sapindaceae	elisus	Lygus	Mirini	Miridae	6296	8151	8152	40247	385	398	848	1557	1	0.06	1	0	0	0	LOW
3839	engelmannii	Picea	Pinaceae	suffuscipennis	Plagiognathus	Phylini	Miridae	6296	6292	6132	368	62	553	4917	128	3	2.34	1	0	0	0	LOW
3840	montanus	Cercocarpus	Rosaceae	cyaneus	Teleorhinus	Pronotocrepini	Miridae	6296	6306	6309	6310	376	448	842	187	2	1.07	9	0	0	0	LOW
3841	montanus	Cercocarpus	Rosaceae	flaviclavus	Psallovius	Phylini	Miridae	6296	6292	6153	4786	376	448	842	8	1	12.50	1	0	0	0	LOW
3842	montanus	Cercocarpus	Rosaceae	cercocarpi	Atractotomus	Phylini	Miridae	6296	6292	5750	2909	376	448	842	20	4	20.00	33	0	0	0	MEDIUM
3843	montanus	Cercocarpus	Rosaceae	balli	Atractotomus	Phylini	Miridae	6296	6292	5750	2902	376	448	842	97	1	1.03	9	0	0	0	LOW
3844	montanus	Cercocarpus	Rosaceae	obliquus	Orectoderus	Pronotocrepini	Miridae	6296	6306	6325	6333	376	448	842	317	2	0.63	3	0	0	0	LOW
3845	montanus	Cercocarpus	Rosaceae	longirostris	Neurocolpus	Mirini	Miridae	6296	8151	66745	67518	376	448	842	21	1	4.76	11	0	0	0	LOW
3846	montanus	Cercocarpus	Rosaceae	inops	Phytocoris	Mirini	Miridae	6296	8151	36447	37504	376	448	842	100	4	4.00	16	0	0	0	MEDIUM
3847	montanus	Cercocarpus	Rosaceae	dumicola	Phytocoris	Mirini	Miridae	6296	8151	36447	37503	376	448	842	60	2	3.33	4	0	0	0	LOW
3848	montanus	Cercocarpus	Rosaceae	barberi	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	70174	376	448	842	22	1	4.55	10	0	0	0	LOW
