id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
770	cuneatus	Ceanothus	Rhamnaceae	ursinus	Pycnocoris	Mirini	Miridae	6296	8151	40265	40266	373	444	716	39	4	10.26	75	0	0	0	MEDIUM_HIGH
771	berberidis	Hazardia	Asteraceae	aprica	Strophopoda	Phylini	Miridae	6296	6292	6221	474	98	496	17512	35	1	2.86	6	0	0	0	LOW
772	fasciculatum	Adenostoma	Rosaceae	semiustus	Adenostomocoris	Phylini	Miridae	6296	6292	5706	176	376	400	8641	28	21	75.00	18	0	0	0	HIGH
773	fasciculatum	Adenostoma	Rosaceae	verticalis	Plagiognathus	Phylini	Miridae	6296	6292	6132	373	376	400	8641	269	1	0.37	1	0	0	0	LOW
774	fasciculatum	Adenostoma	Rosaceae	rubrum	Aoplonema	Orthotylini	Miridae	6296	6291	5734	7873	376	400	8641	108	1	0.93	1	0	0	0	LOW
775	scoparius	Lotus	Fabaceae	rubrum	Aoplonema	Orthotylini	Miridae	6296	6291	5734	7873	211	526	907	108	2	1.85	1	0	0	0	LOW
776	fasciculatum	Adenostoma	Rosaceae	semiustus	Maurodactylus	Phylini	Miridae	6296	6292	6020	4097	376	400	8641	2	1	50.00	4	0	0	0	LOW
777	fasciculatum	Adenostoma	Rosaceae	vau	Phytocoris	Mirini	Miridae	6296	8151	36447	70017	376	400	8641	8	2	25.00	11	0	0	0	LOW
778	scoparius	Lotus	Fabaceae	marginata	Lopidea	Orthotylini	Miridae	6296	6291	6002	1482	211	526	907	106	19	17.92	31	0	0	1	HIGH
779	fasciculatum	Adenostoma	Rosaceae	marginata	Lopidea	Orthotylini	Miridae	6296	6291	6002	1482	376	400	8641	106	2	1.89	9	0	0	0	LOW
780	scoparius	Lotus	Fabaceae	silvosa	Irbisia	Mirini	Miridae	6296	8151	36462	40261	211	526	907	206	1	0.49	1	0	0	0	LOW
781	fasciculatum	Adenostoma	Rosaceae	pintoi	Adenostomocoris	Phylini	Miridae	6296	6292	5706	542	376	400	8641	46	31	67.39	183	0	0	2	HIGH
782	angustifolium	Eriodictyon	Boraginaceae	angularis	Pseudopsallus	Orthotylini	Miridae	6296	6291	6165	2367	113	476	8581	164	5	3.05	72	0	7	0	MEDIUM_HIGH
783	tridentata	Artemisia	Asteraceae	stigmosa	Europiella	Phylini	Miridae	6296	6292	5876	26	98	418	948	113	22	19.47	1	0	0	0	HIGH
784	tridentata	Artemisia	Asteraceae	picta	Phyllopidea	Phylini	Miridae	6296	6292	6121	4448	98	418	948	176	62	35.23	74	0	0	1	HIGH
785	tridentata	Artemisia	Asteraceae	nevadensis	Brooksetta	Orthotylini	Miridae	6296	6291	5783	678	98	418	948	15	12	80.00	66	0	0	0	HIGH
786	emoryi	Sphaeralcea	Malvaceae	amoenus	Closterocoris	Herdoniini	Miridae	6296	34944	50802	50803	286	596	8790	110	1	0.91	21	0	0	0	LOW
787	laciniata	Bahiopsis	Asteraceae	amoenus	Closterocoris	Herdoniini	Miridae	6296	34944	50802	50803	98	17519	17520	110	1	0.91	1	0	0	0	LOW
788	laciniata	Bahiopsis	Asteraceae	mexicanus	Stittocapsus	Mirini	Miridae	6296	8151	69968	73616	98	17519	17520	2	1	50.00	119	0	11	0	LOW
789	emoryi	Sphaeralcea	Malvaceae	azteci	Brooksetta	Orthotylini	Miridae	6296	6291	5783	669	286	596	8790	14	1	7.14	1	0	0	0	LOW
790	monogyra	Ambrosia	Asteraceae	ferox	Brooksetta	Orthotylini	Miridae	6296	6291	5783	674	98	407	17513	30	1	3.33	4	0	0	0	LOW
791	emoryi	Sphaeralcea	Malvaceae	ferox	Brooksetta	Orthotylini	Miridae	6296	6291	5783	674	286	596	8790	30	1	3.33	5	0	0	0	LOW
792	californica	Ephedra	Ephedraceae	marginata	Lopidea	Orthotylini	Miridae	6296	6291	6002	1482	64	473	12982	106	1	0.94	5	0	0	0	LOW
793	californica	Ephedra	Ephedraceae	nigridia	Lopidea	Orthotylini	Miridae	6296	6291	6002	1499	64	473	12982	296	2	0.68	22	0	0	0	LOW
794	monogyra	Ambrosia	Asteraceae	atriseta	Pseudopsallus	Orthotylini	Miridae	6296	6291	6165	2370	98	407	17513	34	1	2.94	16	0	0	0	LOW
795	laciniata	Bahiopsis	Asteraceae	verticalis	Plagiognathus	Phylini	Miridae	6296	6292	6132	373	98	17519	17520	269	1	0.37	2	0	0	0	LOW
796	fasciculatum	Eriogonum	Polygonaceae	roseus	Phytocoris	Mirini	Miridae	6296	8151	36447	67442	356	477	742	46	19	41.30	16	0	0	0	HIGH
797	fasciculatum	Adenostoma	Rosaceae	baja	Maculamiris	Phylini	Miridae	6296	6292	6313	6314	376	400	8641	5	1	20.00	36	0	0	0	LOW
798	fasciculatum	Adenostoma	Rosaceae	fraternus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1908	376	400	8641	10	6	60.00	32	0	0	0	HIGH
799	minutifolia	Rosa	Rosaceae	baja	Maculamiris	Phylini	Miridae	6296	6292	6313	6314	376	580	1161	5	2	40.00	50	0	0	0	LOW
800	humboldtiana	Salvia	Lamiaceae	amoenus	Closterocoris	Herdoniini	Miridae	6296	34944	50802	50803	264	585	9483	110	1	0.91	2	0	0	0	LOW
801	glandulosa	Prosopis	Fabaceae	tuberculatus	Phymatopsallus	Phylini	Miridae	6296	6292	6123	4498	211	565	9450	64	3	4.69	29	0	0	0	LOW
802	glandulosa	Prosopis	Fabaceae	acaciae	Atractotomus	Phylini	Miridae	6296	6292	5750	2896	211	565	9450	51	1	1.96	1	0	0	0	LOW
803	cuneatus	Ceanothus	Rhamnaceae	seriatus	Pseudatomoscelis	Phylini	Miridae	6296	6292	6156	410	373	444	716	598	2	0.33	1	0	0	1	LOW
804	cuneatus	Ceanothus	Rhamnaceae	verticalis	Plagiognathus	Phylini	Miridae	6296	6292	6132	373	373	444	716	269	1	0.37	2	0	0	0	LOW
805	cuneatus	Ceanothus	Rhamnaceae	rubrum	Aoplonema	Orthotylini	Miridae	6296	6291	5734	7873	373	444	716	108	3	2.78	5	0	0	1	LOW
806	tomentosus	Ceanothus	Rhamnaceae	californica	Irbisia	Mirini	Miridae	6296	8151	36462	40251	373	444	941	455	1	0.22	1	0	0	0	LOW
807	tomentosus	Ceanothus	Rhamnaceae	ursinus	Pycnocoris	Mirini	Miridae	6296	8151	40265	40266	373	444	941	39	1	2.56	7	0	0	0	LOW
808	cuneatus	Ceanothus	Rhamnaceae	silvosa	Irbisia	Mirini	Miridae	6296	8151	36462	40261	373	444	716	206	1	0.49	2	0	0	0	LOW
809	tomentosus	Ceanothus	Rhamnaceae	cruralis	Tuxedo	Phylini	Miridae	6296	6292	6253	549	373	444	941	168	1	0.60	2	0	0	0	LOW
810	parviflora	Malva	Malvaceae	albofasciatus	Spanagonicus	Phylini	Miridae	6296	6292	6207	468	286	530	870	823	1	0.12	1	0	0	0	LOW
811	tridentata	Artemisia	Asteraceae	ferox	Brooksetta	Orthotylini	Miridae	6296	6291	5783	674	98	418	948	30	3	10.00	2	0	0	0	LOW
812	chrysolepis	Quercus	Fagaceae	silvosa	Irbisia	Mirini	Miridae	6296	8151	36462	40261	68	571	698	206	5	2.43	33	0	0	0	MEDIUM
813	monophylla	Pinus	Pinaceae	silvosa	Irbisia	Mirini	Miridae	6296	8151	36462	40261	62	554	841	206	1	0.49	1	0	0	0	LOW
814	tridentata	Artemisia	Asteraceae	umbrina	Europiella	Phylini	Miridae	6296	6292	5876	27	98	418	948	55	13	23.64	3	0	0	0	HIGH
815	chrysolepis	Quercus	Fagaceae	ursinus	Pycnocoris	Mirini	Miridae	6296	8151	40265	40266	68	571	698	39	3	7.69	11	0	0	0	LOW
816	monophylla	Pinus	Pinaceae	junipericola	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73461	62	554	841	29	12	41.38	95	0	0	0	HIGH
817	tridentata	Artemisia	Asteraceae	silvosa	Irbisia	Mirini	Miridae	6296	8151	36462	40261	98	418	948	206	1	0.49	1	0	0	0	LOW
818	fremontii	Berberis	Berberidaceae	silvosa	Irbisia	Mirini	Miridae	6296	8151	36462	40261	108	428	750	206	1	0.49	11	0	0	0	LOW
819	monophylla	Pinus	Pinaceae	oreas	Irbisia	Mirini	Miridae	6296	8151	36462	40258	62	554	841	100	1	1.00	1	0	0	0	LOW
820	chrysolepis	Quercus	Fagaceae	oreas	Irbisia	Mirini	Miridae	6296	8151	36462	40258	68	571	698	100	2	2.00	1	0	0	0	LOW
821	spinosus	Psorothamnus	Fabaceae	aspersus	Stictopsallus	Phylini	Miridae	6296	6292	6565	6566	211	1357	9455	28	3	10.71	51	0	0	0	LOW
822	tridentata	Larrea	Zygophyllaceae	ramosus	Phytocoris	Mirini	Miridae	6296	8151	36447	36461	60	517	9380	157	9	5.73	7	0	1	0	MEDIUM
823	tridentata	Larrea	Zygophyllaceae	vanduzeei	Phytocoris	Mirini	Miridae	6296	8151	36447	67752	60	517	9380	200	9	4.50	36	0	0	0	MEDIUM_HIGH
824	emoryi	Psorothamnus	Fabaceae	decorata	Daleapidea	Orthotylini	Miridae	6296	6291	5838	909	211	1357	9456	2	1	50.00	255	0	1	0	LOW
